,year,month,day_of_week_encoded,hour,season_encoded,is_weekend_encoded,is_night_encoded,severity_score,ucr_category_encoded,district_encoded,district_category_encoded
year,1.0,0.004537260804047841,-0.027997262874722102,0.10601295270718208,0.006239634752942999,-0.022888432871627205,-0.08860416615767092,0.07589447233429139,-0.07589447233429139,0.015002097888144987,0.07967762217033163
month,0.004537260804047841,1.0,-0.0028515303364747163,0.005272301303850421,0.5959983154096192,-0.00011576208445718656,-0.010081889735535544,0.029358181417164442,-0.029358181417164446,-0.001733212730234515,-0.00041966387574988827
day_of_week_encoded,-0.027997262874722102,-0.0028515303364747163,1.0,-0.08611952267760149,-0.0038240441476674225,0.7799185032547917,0.04229864855953696,-0.017730224847646893,0.017730224847646893,-0.006040613991144471,-0.0012443105123210953
hour,0.10601295270718208,0.005272301303850421,-0.08611952267760149,1.0,0.001638080770748806,-0.08313519016680347,-0.4664313174941735,0.06445198064029493,-0.06445198064029493,-0.011778150822601492,-0.003350860132656716
season_encoded,0.006239634752942999,0.5959983154096192,-0.0038240441476674225,0.001638080770748806,1.0,-0.0009862719937164832,-0.009813045587423696,0.013478042140758272,-0.013478042140758277,-0.0003181609952331723,0.0013207499335994477
is_weekend_encoded,-0.022888432871627205,-0.00011576208445718656,0.7799185032547917,-0.08313519016680347,-0.0009862719937164832,1.0,0.03441737806257832,-0.005220373694387459,0.005220373694387459,-0.008235009092722363,-0.0033384718443653177
is_night_encoded,-0.08860416615767092,-0.010081889735535544,0.04229864855953696,-0.4664313174941735,-0.009813045587423696,0.03441737806257832,1.0,-0.07631421434649653,0.07631421434649653,0.007254694431194445,0.007107975599269861
severity_score,0.07589447233429139,0.029358181417164442,-0.017730224847646893,0.06445198064029493,0.013478042140758272,-0.005220373694387459,-0.07631421434649653,1.0,-1.0,-0.0443630098019765,-0.005142533420702284
ucr_category_encoded,-0.07589447233429139,-0.029358181417164446,0.017730224847646893,-0.06445198064029493,-0.013478042140758277,0.005220373694387459,0.07631421434649653,-1.0,1.0,0.0443630098019765,0.005142533420702285
district_encoded,0.015002097888144987,-0.001733212730234515,-0.006040613991144471,-0.011778150822601492,-0.0003181609952331723,-0.008235009092722363,0.007254694431194445,-0.0443630098019765,0.0443630098019765,1.0,0.24225798695105688
district_category_encoded,0.07967762217033163,-0.00041966387574988827,-0.0012443105123210953,-0.003350860132656716,0.0013207499335994477,-0.0033384718443653177,0.007107975599269861,-0.005142533420702284,0.005142533420702285,0.24225798695105688,1.0
