dc_dist,Other,Property,Violent
1,57.89828130480533,33.30059628200631,8.801122413188354
2,54.44150731158606,36.86164229471316,8.696850393700787
3,53.311674032247765,39.07399394201644,7.61433202573579
4,59.09172115625112,31.093007467752887,9.815271375995998
5,53.997308742628725,41.23956148335774,4.763129774013535
6,50.0582915404833,43.47514158980692,6.466566869709784
7,51.38534785119659,43.28877494964292,5.325877199160481
8,52.883605626043696,40.752664107287345,6.363730266668963
9,46.50332938303291,47.54437540512404,5.952295211843044
12,63.038256429366356,26.216506110856525,10.745237459777119
14,60.657820072987,29.946014607812003,9.396165319200996
15,58.04709573857652,31.406480385249537,10.546423876173943
16,65.26819809322934,24.752298415560336,9.979503491210314
17,60.901880303954734,30.165289256198346,8.932830439846914
18,57.78217568947907,31.781618534682888,10.436205775838053
19,68.12503948662871,22.631479191674863,9.243481321696436
22,59.02343372412555,29.03599983429305,11.940566441581396
23,70.15129628221698,20.463012240553486,9.38569147722953
24,66.37711565229671,23.972887373666055,9.64999697403724
25,65.63702026297115,21.846312392368503,12.516667344660348
26,51.820493577085905,39.180140335026195,8.999366087887907
35,62.45007050315176,25.631703326667875,11.91822617018036
39,60.12040488858326,28.320484515062677,11.559110596354072
77,42.13526638046309,57.013160672813,0.8515729467239074
92,24.077800134138165,68.94701542588867,6.975184439973173
