hour,Property,Quality-of-Life,Violent
0,28.162176609520483,61.212233610245946,10.625589780233566
1,23.88998448020351,64.14810320081217,11.961912318984329
2,17.022584768977904,71.38613258659524,11.591282644426858
3,14.607069821793747,73.3922696846143,12.00066049359194
4,14.460980622248712,71.25126504864616,14.287754329105121
5,14.218068535825545,72.30419644493311,13.47773501924134
6,15.647210641254716,70.60452650387136,13.748262854873932
7,18.403746787875438,65.96115056229449,15.635102649830069
8,22.689227072486982,60.8690428514217,16.44173007609131
9,30.526481880818384,53.38189659706517,16.091621522116448
10,38.15215494678066,48.51393008782644,13.333914965392893
11,48.21405918703901,43.27576520903934,8.51017560392164
12,48.31919572730129,45.37801925671305,6.30278501598566
13,43.2569423953313,50.50260647191895,6.2404511327497465
14,39.850820601182676,53.77041485153617,6.378764547281168
15,38.640497845859265,54.72740811658954,6.632094037551194
16,38.261351052048724,54.66108777868322,7.0775611692680584
17,37.69970908363977,54.8469401175239,7.453350798836335
18,37.040261806827395,55.050289728885815,7.909448464286786
19,37.300282095912614,54.32507052397815,8.374647380109238
20,37.86967732004387,54.06284273921995,8.067479940736181
21,36.03133878289127,55.97057055127435,7.998090665834392
22,34.08487540093758,57.40636565507031,8.508758943992104
23,30.85131573528806,59.82580406045381,9.322880204258123
