Rank,District,Severity Score,Total Crimes,Violent %,YoY Change %,Rate per 100K,Population
1,24,81.6,249408,9.6,9.4,387304.0,64396
2,22,79.6,218812,11.9,-3.3,334003.0,65512
3,25,77.8,222837,12.5,-1.3,276782.0,80510
4,15,72.7,277255,10.5,-6.3,201753.0,137423
5,12,71.4,199793,10.7,-9.7,288052.0,69360
6,39,70.1,166880,11.6,-15.5,291947.0,57161
7,35,68.7,204706,11.9,-4.9,187859.0,108968
8,19,67.5,222868,9.2,-7.6,247222.0,90149
9,18,65.2,173208,10.4,-3.4,230520.0,75138
10,16,62.9,118345,10.0,-0.2,282993.0,41819
11,26,61.5,138266,9.0,3.0,266280.0,51925
12,14,59.7,193247,9.4,-9.6,165854.0,116516
13,17,58.8,108917,8.9,14.9,249655.0,43627
14,2,55.9,179128,8.7,-6.0,147596.0,121364
15,3,51.4,141970,7.6,-3.9,166274.0,85383
16,1,49.2,71708,8.8,-4.1,187212.0,38303
17,9,48.8,154574,6.0,6.7,154081.0,100320
18,8,43.0,117026,6.4,-5.9,121293.0,96482
19,7,33.1,71472,5.3,-12.3,79396.0,90020
20,5,32.6,50843,4.7,-9.9,117453.0,43288
21,77,19.0,14345,0.9,-28.0,,0
